date,ticker,Flow,flow_btc,flow_usd
2024-12-06 00:00:00,BTCW (WisdomTree),,,381276680.0
2024-12-06 00:00:00,DEFI (Hashdex),,,15030000.0
2024-12-06 00:00:00,EZBC (Franklin Templeton),,,770080500.0
2024-12-06 00:00:00,FBTC (Fidelity),,,20546775919.0
2024-12-06 00:00:00,GBTC (Grayscale),,,21607129960.0
2024-12-06 00:00:00,HODL (VanEck),,,1399158264.0
2024-12-06 00:00:00,IBIT (BlackRock),,,53048710694.0
2024-12-06 00:00:00,TOTAL,,,112642069995.0
2024-12-09 00:00:00,ARKB (Ark 21Shares),,,4648382519.0
2024-12-09 00:00:00,BITB (Bitwise),,,3969364000.0
2024-12-09 00:00:00,BRRR (Valkyrie),,,899438244.0
2024-12-09 00:00:00,BTC (Grayscale Mini),,,3721172700.0
2024-12-09 00:00:00,BTCO (Invesco Galaxy),,,852200000.0
2024-12-09 00:00:00,BTCW (WisdomTree),,,362495700.0
2024-12-09 00:00:00,DEFI (Hashdex),,,14220000.0
2024-12-09 00:00:00,EZBC (Franklin Templeton),,,732070000.0
2024-12-09 00:00:00,FBTC (Fidelity),,,19695325034.0
2024-12-09 00:00:00,GBTC (Grayscale),,,22618962856.0
2024-12-09 00:00:00,HODL (VanEck),,,1330060500.0
2024-12-09 00:00:00,IBIT (BlackRock),,,50680832000.0
2024-12-09 00:00:00,TOTAL,,,109524523553.0
2024-12-10 00:00:00,ARKB (Ark 21Shares),,,4623851500.0
2024-12-10 00:00:00,BITB (Bitwise),,,3913882012.0
2024-12-10 00:00:00,BRRR (Valkyrie),,,894753750.0
2024-12-10 00:00:00,BTC (Grayscale Mini),,,3741027852.0
2024-12-10 00:00:00,BTCO (Invesco Galaxy),,,854801900.0
2024-12-10 00:00:00,BTCW (WisdomTree),,,360566710.0
2024-12-10 00:00:00,DEFI (Hashdex),,,14250000.0
2024-12-10 00:00:00,EZBC (Franklin Templeton),,,728190000.0
2024-12-10 00:00:00,FBTC (Fidelity),,,19819027021.0
2024-12-10 00:00:00,GBTC (Grayscale),,,20468792777.0
2024-12-10 00:00:00,HODL (VanEck),,,1323204851.0
2024-12-10 00:00:00,IBIT (BlackRock),,,50802389979.0
2024-12-10 00:00:00,TOTAL,,,107544738352.0
2024-12-11 00:00:00,ARKB (Ark 21Shares),,,4880446098.0
2024-12-11 00:00:00,BITB (Bitwise),,,4137657200.0
2024-12-11 00:00:00,BRRR (Valkyrie),,,928992033.0
2024-12-11 00:00:00,BTC (Grayscale Mini),,,3938945600.0
2024-12-11 00:00:00,BTCO (Invesco Galaxy),,,886025000.0
2024-12-11 00:00:00,BTCW (WisdomTree),,,380075100.0
2024-12-11 00:00:00,DEFI (Hashdex),,,15010000.0
2024-12-11 00:00:00,EZBC (Franklin Templeton),,,767590000.0
2024-12-11 00:00:00,FBTC (Fidelity),,,20992779682.0
2024-12-11 00:00:00,GBTC (Grayscale),,,21446510052.0
2024-12-11 00:00:00,HODL (VanEck),,,1394820000.0
2024-12-11 00:00:00,IBIT (BlackRock),,,53864205600.0
2024-12-11 00:00:00,TOTAL,,,113633056365.0
2024-12-12 00:00:00,ARKB (Ark 21Shares),,,4863052171.0
2024-12-12 00:00:00,BITB (Bitwise),,,4133306689.0
2024-12-12 00:00:00,BRRR (Valkyrie),,,914210688.0
2024-12-12 00:00:00,BTC (Grayscale Mini),,,3897084175.0
2024-12-12 00:00:00,BTCO (Invesco Galaxy),,,874000000.0
2024-12-12 00:00:00,BTCW (WisdomTree),,,374021570.0
2024-12-12 00:00:00,DEFI (Hashdex),,,14760000.0
2024-12-12 00:00:00,EZBC (Franklin Templeton),,,755370000.0
2024-12-12 00:00:00,FBTC (Fidelity),,,20692805601.0
2024-12-12 00:00:00,GBTC (Grayscale),,,21154644991.0
2024-12-12 00:00:00,HODL (VanEck),,,1369730281.0
2024-12-12 00:00:00,IBIT (BlackRock),,,53004810539.0
2024-12-12 00:00:00,TOTAL,,,112047796705.0
2024-12-13 00:00:00,ARKB (Ark 21Shares),,,4977931309.0
2024-12-13 00:00:00,BITB (Bitwise),,,4240015465.0
2024-12-13 00:00:00,BRRR (Valkyrie),,,930465547.0
2024-12-13 00:00:00,BTC (Grayscale Mini),,,4077949553.0
2024-12-13 00:00:00,BTCO (Invesco Galaxy),,,888600000.0
2024-12-13 00:00:00,BTCW (WisdomTree),,,383368560.0
2024-12-13 00:00:00,DEFI (Hashdex),,,15040000.0
2024-12-13 00:00:00,EZBC (Franklin Templeton),,,768810000.0
2024-12-13 00:00:00,FBTC (Fidelity),,,21123816283.0
2024-12-13 00:00:00,GBTC (Grayscale),,,21474624651.0
2024-12-13 00:00:00,HODL (VanEck),,,1394142667.0
2024-12-13 00:00:00,IBIT (BlackRock),,,54386628659.0
2024-12-13 00:00:00,TOTAL,,,114661392694.0
2024-12-16 00:00:00,ARKB (Ark 21Shares),,,5252137272.0
2024-12-16 00:00:00,BITB (Bitwise),,,4463601352.0
2024-12-16 00:00:00,BRRR (Valkyrie),,,972783236.0
2024-12-16 00:00:00,BTC (Grayscale Mini),,,4249980346.0
2024-12-16 00:00:00,BTCO (Invesco Galaxy),,,92450000.0
2024-12-16 00:00:00,BTCW (WisdomTree),,,408134010.0
2024-12-16 00:00:00,DEFI (Hashdex),,,16870000.0
2024-12-16 00:00:00,EZBC (Franklin Templeton),,,803790000.0
2024-12-16 00:00:00,FBTC (Fidelity),,,22196391604.0
2024-12-16 00:00:00,GBTC (Grayscale),,,22243258176.0
2024-12-16 00:00:00,HODL (VanEck),,,1466473100.0
2024-12-16 00:00:00,IBIT (BlackRock),,,57271351223.0
2024-12-16 00:00:00,TOTAL,,,119437220319.0
2024-12-17 00:00:00,ARKB (Ark 21Shares),,,5247673734.0
2024-12-17 00:00:00,BITB (Bitwise),,,4449907123.0
2024-12-17 00:00:00,BRRR (Valkyrie),,,975106356.0
2024-12-17 00:00:00,BTC (Grayscale Mini),,,4290745864.0
2024-12-17 00:00:00,BTCO (Invesco Galaxy),,,932200000.0
2024-12-17 00:00:00,BTCW (WisdomTree),,,409108790.0
2024-12-17 00:00:00,DEFI (Hashdex),,,16980000.0
2024-12-17 00:00:00,EZBC (Franklin Templeton),,,805710000.0
2024-12-17 00:00:00,FBTC (Fidelity),,,22155763113.0
2024-12-17 00:00:00,GBTC (Grayscale),,,22438913159.0
2024-12-17 00:00:00,HODL (VanEck),,,1473234750.0
2024-12-17 00:00:00,IBIT (BlackRock),,,57827317194.0
2024-12-17 00:00:00,TOTAL,,,121022660083.0
2024-12-18 00:00:00,ARKB (Ark 21Shares),,,4986492334.0
2024-12-18 00:00:00,BITB (Bitwise),,,4217433650.0
2024-12-18 00:00:00,BRRR (Valkyrie),,,927795327.0
2024-12-18 00:00:00,BTC (Grayscale Mini),,,4049136429.0
2024-12-18 00:00:00,BTCO (Invesco Galaxy),,,880400000.0
2024-12-18 00:00:00,BTCW (WisdomTree),,,389257040.0
2024-12-18 00:00:00,DEFI (Hashdex),,,16010000.0
2024-12-18 00:00:00,EZBC (Franklin Templeton),,,766610000.0
2024-12-18 00:00:00,FBTC (Fidelity),,,21042771178.0
2024-12-18 00:00:00,GBTC (Grayscale),,,21076082733.0
2024-12-18 00:00:00,HODL (VanEck),,,1402165422.0
2024-12-18 00:00:00,IBIT (BlackRock),,,55726756513.0
2024-12-18 00:00:00,TOTAL,,,115480910626.0
2024-12-19 00:00:00,ARKB (Ark 21Shares),,,4747119900.0
2024-12-19 00:00:00,BITB (Bitwise),,,4015106800.0
2024-12-19 00:00:00,BRRR (Valkyrie),,,883341950.0
2024-12-19 00:00:00,BTC (Grayscale Mini),,,3684979621.0
2024-12-19 00:00:00,BTCO (Invesco Galaxy),,,817445000.0
2024-12-19 00:00:00,BTCW (WisdomTree),,,370579400.0
2024-12-19 00:00:00,DEFI (Hashdex),,,15330000.0
2024-12-19 00:00:00,EZBC (Franklin Templeton),,,729810000.0
2024-12-19 00:00:00,FBTC (Fidelity),,,19818844880.0
2024-12-19 00:00:00,GBTC (Grayscale),,,20038963640.0
2024-12-19 00:00:00,HODL (VanEck),,,1333747500.0
2024-12-19 00:00:00,IBIT (BlackRock),,,53397289200.0
2024-12-19 00:00:00,TOTAL,,,109852557891.0
2024-12-20 00:00:00,ARKB (Ark 21Shares),,,4569389837.0
2024-12-20 00:00:00,BITB (Bitwise),,,3986449814.0
2024-12-20 00:00:00,BRRR (Valkyrie),,,878398423.0
2024-12-20 00:00:00,BTC (Grayscale Mini),,,3688966131.0
2024-12-20 00:00:00,BTCO (Invesco Galaxy),,,791900000.0
2024-12-20 00:00:00,BTCW (WisdomTree),,,374035670.0
2024-12-20 00:00:00,DEFI (Hashdex),,,15340000.0
2024-12-20 00:00:00,EZBC (Franklin Templeton),,,732580000.0
2024-12-20 00:00:00,FBTC (Fidelity),,,19819500398.0
2024-12-20 00:00:00,GBTC (Grayscale),,,20060255896.0
2024-12-20 00:00:00,HODL (VanEck),,,1328550856.0
2024-12-20 00:00:00,IBIT (BlackRock),,,53597156873.0
2024-12-20 00:00:00,TOTAL,,,109842523898.0
2024-12-23 00:00:00,ARKB (Ark 21Shares),,,4362402000.0
2024-12-23 00:00:00,BITB (Bitwise),,,3795062400.0
2024-12-23 00:00:00,BRRR (Valkyrie),,,841501700.0
2024-12-23 00:00:00,BTC (Grayscale Mini),,,3560621274.0
2024-12-23 00:00:00,BTCO (Invesco Galaxy),,,727107000.0
2024-12-23 00:00:00,BTCW (WisdomTree),,,358321600.0
2024-12-23 00:00:00,DEFI (Hashdex),,,14840000.0
2024-12-23 00:00:00,EZBC (Franklin Templeton),,,707207000.0
2024-12-23 00:00:00,FBTC (Fidelity),,,18859010980.0
2024-12-23 00:00:00,GBTC (Grayscale),,,19268503782.0
2024-12-23 00:00:00,HODL (VanEck),,,1270137000.0
2024-12-23 00:00:00,IBIT (BlackRock),,,51305934400.0
2024-12-23 00:00:00,TOTAL,,,105070649136.0
2024-12-24 00:00:00,ARKB (Ark 21Shares),,,4513273382.0
2024-12-24 00:00:00,BITB (Bitwise),,,4000922270.0
2024-12-24 00:00:00,BRRR (Valkyrie),,,885206961.0
2024-12-24 00:00:00,BTC (Grayscale Mini),,,3721999085.0
2024-12-24 00:00:00,BTCO (Invesco Galaxy),,,772000000.0
2024-12-24 00:00:00,BTCW (WisdomTree),,,376935440.0
2024-12-24 00:00:00,DEFI (Hashdex),,,15760000.0
